id,name,type,latitude,longitude,capacity,operating_hours,features,max_capacity_vehicles
null,시민행복주차장(대우전자 사원아파트 인근),parking,36.09992236,128.3842052,83,"{""24_7"": true}","{""is_public"": true, ""parking_type"": ""노외"", ""is_free"": true, ""has_disabled_zone"": false, ""address"": ""경상북도 구미시 공단동 (대우전자 사원아파트 인근 시민행복주차장)"", ""has_ev_charger"": true, ""indoor"": false, ""address_source"": ""inferred"", ""ev_source"": ""kakao"", ""ev_charger_count"": 6}",101
null,시민행복주차장(공단동 행정복지센터 인근),parking,36.10071758,128.3837459,101,"{""24_7"": true}","{""is_public"": true, ""parking_type"": ""노외"", ""is_free"": true, ""has_disabled_zone"": false, ""address"": ""경상북도 구미시 공단동 (공단동 행정복지센터 인근 시민행복주차장)"", ""has_ev_charger"": true, ""indoor"": false, ""address_source"": ""inferred"", ""ev_source"": ""kakao"", ""ev_charger_count"": 6}",85
null,노상주차장(공단BS호텔앞),parking,36.11024954,128.3770104,60,"{""24_7"": true}","{""is_public"": true, ""parking_type"": ""노상"", ""is_free"": true, ""has_disabled_zone"": false, ""address"": ""경상북도 구미시 1공단로5길 86-15 일대 (BS호텔 앞 노상주차장)"", ""has_ev_charger"": true, ""indoor"": false, ""address_source"": ""web"", ""ev_source"": ""kakao"", ""ev_charger_count"": 3}",50
null,근로자종합복지회관,parking,36.10555959,128.3839007,116,"{""24_7"": true}","{""is_public"": true, ""parking_type"": ""부설"", ""is_free"": true, ""has_disabled_zone"": false, ""address"": ""경상북도 구미시 산호대로 239 (공단동), 근로자종합복지회관"", ""has_ev_charger"": true, ""indoor"": false, ""address_source"": ""web"", ""ev_source"": ""kakao"", ""ev_charger_count"": 7}",150
